ktype,filiere,region,sau,umo,ugb,nb_vl,surface_sfp,surface_herbe_pp,surface_herbe_pt,surface_culture
"Robot de traite, 35% maïs/SFP",Bovins lait,0,182.0,0.0,127.8,70.0,82.0,48.0,7.0,100.0
" 25% maïs/SFP, vaches allaitantes et JB",Bovins lait,0,414.0,0.0,368.6,148.0,265.5,198.0,0.0,148.5
"35% maïs/SFP, JB",Bovins lait,0,176.0,0.0,117.5,64.0,80.0,52.0,0.0,96.0
Engraissement de taurillons laitiers,Bovins lait,0,260.0,0.0,201.5,114.0,148.7,61.0,48.0,111.3
"Zone de plaine, bons potentiels",Bovins lait,0,240.0,0.0,202.3,99.0,154.0,99.0,27.0,86.0
100% herbe/SFP,Bovins lait,0,120.0,0.0,87.4,50.0,120.0,120.0,0.0,0.0
Herbager foin ventilé,Bovins lait,0,95.0,0.0,76.1,54.0,85.8,40.0,45.8,9.2
Herbager ensilage d'herbe,Bovins lait,0,67.0,0.0,53.4,38.0,61.0,39.0,22.0,6.0
Herbe Maïs Montagne,Bovins lait,0,96.0,0.0,76.1,55.0,80.0,43.0,31.0,16.0
AOP - petite structure,Bovins lait,0,66.0,0.0,65.1,41.3,66.0,66.0,0.0,0.0
AOP - structure grandes dimensions,Bovins lait,0,145.05,0.0,144.8,94.8,145.05,145.05,0.0,0.0
AOP Cantal et Bleu d'Auvergne,Bovins lait,0,80.0,0.0,80.6,55.3,80.0,80.0,0.0,0.0
AOP - Structure modeste,Bovins lait,0,54.3,0.0,56.1,38.0,54.3,54.3,0.0,0.0
AOP - Système tout foin (séchage au sol),Bovins lait,0,90.0,0.0,82.1,57.2,90.0,78.0,12.0,0.0
Volume de lait modeste,Bovins lait,0,60.0,0.0,52.7,35.0,57.0,40.5,16.5,3.0
10% maïs/SFP,Bovins lait,0,57.95,0.0,48.3,35.0,51.45,11.89,34.56,6.5
Herbe et céréales intraconsommées,Bovins lait,0,80.0,0.0,64.2,43.3,65.0,20.9,44.1,15.0
AOP Laguiole,Bovins lait,0,74.6,0.0,69.2,42.0,62.9,4.0,58.9,11.7
Massif jurassien,Bovins lait,0,110.0,0.0,92.9,60.0,110.0,110.0,0.0,0.0
Massif jurassien,Bovins lait,0,190.0,0.0,157.1,109.0,180.0,125.0,55.0,10.0
"85 % de la sau en SFP, maïs dominant",Bovins lait,0,60.0,0.0,81.1,60.0,50.0,25.0,6.0,10.0
25 % maïs/SFP (irrigation),Bovins lait,0,98.2,0.0,105.0,75.3,83.2,9.5,53.2,15.0
15% de maïs/SFP,Bovins lait,0,125.0,0.0,96.4,70.0,106.0,53.0,37.0,19.0
20% de maïs/SFP,Bovins lait,0,80.0,0.0,101.1,75.0,70.0,18.5,37.5,10.0
10 à 20% de maïs dans la SFP,Bovins lait,0,120.0,0.0,118.5,80.0,106.0,60.0,31.0,14.0
8500 litres/VL et 25-30% de Maïs/SFP,Bovins lait,0,95.0,0.0,109.8,84.0,82.0,38.0,23.5,13.0
"7750 litres/VL, 20-30% de maïs/SFP",Bovins lait,0,50.0,0.0,61.0,45.0,42.75,23.0,9.25,7.25
Système à double vitesse,Bovins lait,0,160.0,0.0,141.8,92.0,143.0,73.0,50.0,17.0
AOP - Zone volcanique d'altitude,Bovins lait,0,100.4,0.0,97.5,36.5,100.4,100.4,0.0,0.0
Vêlages de printemps,Bovins viande,0,135.0,0.0,189.8,0.0,120.0,120.0,0.0,15.0
"Race charolaise, vêlages de printemps",Bovins viande,0,60.0,0.0,78.3,0.0,60.0,60.0,0.0,0.0
"Broutards, femelles finies",Bovins viande,0,95.0,0.0,125.9,0.0,89.0,53.0,36.0,6.0
"Broutards, femelles finies",Bovins viande,0,91.0,0.0,125.3,0.0,85.5,44.0,38.5,5.5
"Charolaise, Broutards et femelles finies",Bovins viande,0,160.0,0.0,173.0,0.0,160.0,160.0,0.0,0.0
"Charolaise, Broutards, femelles finies ",Bovins viande,0,160.0,0.0,164.8,0.0,148.0,136.0,12.0,12.0
"Vêl. hiver, Broutards, femelles finies",Bovins viande,0,160.0,0.0,169.0,0.0,140.0,135.0,5.0,20.0
Broutards mâles et femelles,Bovins viande,0,110.0,0.0,115.6,0.0,105.0,65.0,40.0,5.0
Broutards mâles et génisses de boucherie,Bovins viande,0,110.0,0.0,135.7,0.0,104.0,64.0,40.0,6.0
"Vêl hiver, Repousse - femelles finies",Bovins viande,0,100.0,0.0,104.0,0.0,87.0,65.5,21.5,13.0
"Vêl. hiver, Broutards repoussés",Bovins viande,0,129.0,0.0,126.7,0.0,117.0,105.0,12.0,12.0
"Vêl.hiver, Broutards et femelles finies",Bovins viande,0,105.0,0.0,111.5,0.0,94.0,71.0,23.0,11.0
"Vêl. hiver, Broutards repoussés",Bovins viande,0,130.0,0.0,130.7,0.0,118.0,94.0,24.0,12.0
"Vêl. hiver, Broutard d'automne dominant",Bovins viande,0,165.0,0.0,165.9,0.0,145.0,115.0,25.0,20.0
"Vêl. fin d'hiver, taurillons maigres",Bovins viande,0,120.0,0.0,132.1,0.0,120.0,120.0,0.0,0.0
"Vêl. Print., Taurillons et fem. maigres",Bovins viande,0,280.0,0.0,289.7,0.0,280.0,280.0,0.0,0.0
"Vêl. Précoce, Repousse - Femelles finies",Bovins viande,0,152.0,0.0,153.1,0.0,140.0,110.0,25.0,12.0
"Vêl automne, Broutards et fem. finies",Bovins viande,0,220.0,0.0,197.6,0.0,166.0,109.0,49.0,54.0
"Vêl. hiver, Repousse - femelles finies",Bovins viande,0,215.0,0.0,197.9,0.0,167.0,145.0,16.0,48.0
"Vente directe de vaches, bœufs et géniss",Bovins viande,0,90.0,0.0,80.5,0.0,80.0,55.0,25.0,10.0
"Vêl. étalés, Broutards, vaches finies",Bovins viande,0,147.0,0.0,158.5,0.0,147.0,87.0,60.0,0.0
"Broutards, femelles finies",Bovins viande,0,91.0,0.0,95.1,0.0,81.0,13.0,60.0,10.0
"Vêl. hiver, Repousse - femelles finies",Bovins viande,0,170.0,0.0,153.5,0.0,118.0,60.1,51.9,52.0
"Vêl. hiver-print, Broutards, fem. finies",Bovins viande,0,80.0,0.0,114.8,0.0,67.0,30.0,32.0,13.0
Broutards mâles et femelles,Bovins viande,0,125.0,0.0,101.4,0.0,125.0,82.0,43.0,0.0
"Vêl.hiver, Broutards avec fem. maigres",Bovins viande,0,94.0,0.0,92.4,0.0,86.0,70.0,16.0,8.0
Vente de broutards et femelles finies,Bovins viande,0,40.0,0.0,92.3,0.0,32.0,0.0,26.0,8.0
"Vêl. hiver, Broutard(e)s, vaches finies",Bovins viande,0,100.0,0.0,81.9,0.0,90.0,53.0,37.0,10.0
"Vêl. hiver, Broutards, Rosées des Pyr.",Bovins viande,0,25.0,0.0,62.6,0.0,25.0,22.0,3.0,0.0
"Vêl. automne, Broutards lourds",Bovins viande,0,67.0,0.0,90.4,0.0,62.0,32.6,26.4,5.0
Spécialisé Naisseur broutards croisés ,Bovins viande,0,150.0,0.0,108.5,0.0,150.0,128.0,22.0,0.0
"Vêl. hiver-printemps, Broutards lourds",Bovins viande,0,86.0,0.0,80.8,0.0,78.0,68.0,10.0,8.0
"Salers croisés, Broutards alourdis",Bovins viande,0,96.0,0.0,95.5,0.0,96.0,96.0,0.0,0.0
"Vêl.automne, Broutards repoussés",Bovins viande,0,58.0,0.0,75.6,0.0,54.5,29.5,21.5,3.5
"Vêl. hiver-print., Broutards repoussés",Bovins viande,0,72.0,0.0,70.0,0.0,72.0,60.0,12.0,0.0
"Vêl.aut., broutards lourds, gén. finies",Bovins viande,0,135.0,0.0,126.6,0.0,121.0,95.0,26.0,14.0
"Vêl. aut., veaux ss la mère et broutards",Bovins viande,0,115.0,0.0,109.6,0.0,108.0,82.0,26.0,7.0
Naisseur Strict,Bovins viande,0,40.0,0.0,55.7,0.0,40.0,0.0,40.0,0.0
"Race charolaise, vêlages d'hiver",Bovins viande,0,130.0,0.0,63.0,0.0,25.0,25.0,0.0,105.0
"Race charolaise, vêlages de fin d'été",Bovins viande,0,210.0,0.0,169.8,0.0,76.76,70.0,0.0,133.24
"Vêl. hiver, Broutards, femelles finies",Bovins viande,0,230.0,0.0,120.0,0.0,100.0,94.0,6.0,130.0
"Vêl. automne, Broutards, fem. finies",Bovins viande,0,140.0,0.0,84.0,0.0,71.5,68.0,3.5,68.5
"Vêl. automne, Broutards, fem. finies",Bovins viande,0,140.0,0.0,91.0,0.0,89.0,68.0,21.0,51.0
"Vêl. hiver, Broutards - femelles maigres",Bovins viande,0,125.0,0.0,96.0,0.0,82.0,45.1,36.9,43.0
"Vêl. hiver, Broutards, fem. finies",Bovins viande,0,175.0,0.0,88.0,0.0,67.0,38.9,28.1,108.0
"Vêl. aut, Broutards lourds, fem. finies",Bovins viande,0,150.0,0.0,122.1,0.0,95.0,47.0,48.0,55.0
"Jeunes bovins finis, femelles finies",Bovins viande,0,80.0,0.0,118.6,0.0,64.0,24.0,32.0,16.0
"Jeunes bovins finis, femelles finies",Bovins viande,0,84.0,0.0,115.6,0.0,70.0,12.0,44.0,14.0
"Jeunes bovins finis, femelles finies",Bovins viande,0,81.0,0.0,119.2,0.0,68.5,25.0,35.5,12.5
"Jeunes bovins finis, femelles finies",Bovins viande,0,81.0,0.0,111.2,0.0,66.0,25.0,33.5,15.0
"Vêl. hiver, Jeunes bovins finis (maïs)",Bovins viande,0,130.0,0.0,127.0,0.0,93.0,86.0,0.0,37.0
Jeunes Bovins et Génisses type Lyon,Bovins viande,0,102.0,0.0,130.4,0.0,90.0,36.0,49.0,12.0
Jeunes Bovins et Génisses type Lyon,Bovins viande,0,180.0,0.0,224.5,0.0,155.0,75.5,72.5,25.0
"Vêl. automne, Jeunes bovins, fem. finies",Bovins viande,0,190.0,0.0,212.0,0.0,164.0,115.0,37.0,26.0
"Vêl. hiver, Jeunes bovins 16-18 mois",Bovins viande,0,140.0,0.0,150.3,0.0,113.0,53.5,53.5,27.0
"Vêl. hiver, Jeunes bovins, fem. finies",Bovins viande,0,250.0,0.0,237.6,0.0,199.0,187.5,0.0,51.0
"Vêl. aut, Très jeunes bovins-fem. finies",Bovins viande,0,125.0,0.0,137.3,0.0,106.0,35.0,71.0,19.0
"Vêl. automne, jeunes bovins-fem. finies",Bovins viande,0,140.0,0.0,143.7,0.0,126.0,93.0,27.0,14.0
Naisseur Engraisseur,Bovins viande,0,60.0,0.0,119.1,0.0,60.0,49.0,11.0,0.0
"Veaux sous la mère, femelles finies",Bovins viande,0,85.0,0.0,84.0,0.0,74.0,40.5,30.5,11.0
Race Limousine sous Labels,Bovins viande,0,67.0,0.0,68.9,0.0,62.0,37.0,25.0,5.0
