ktype,filiere,region,sau,umo,ugb,nb_vl,surface_sfp,surface_herbe_pp,surface_herbe_pt,surface_culture
Un agn. en automne Bergerie dominants,Ovins viande,0,250.0,0.0,77.5,0.0,45.0,45.0,0.0,205.0
Un agn. En automne Bergerie dominants,Ovins viande,0,170.0,0.0,56.3,0.0,35.0,35.0,0.0,135.0
Bergerie dominants Achat des agnelles,Ovins viande,0,250.0,0.0,83.9,0.0,56.0,50.0,6.0,194.0
Un agn. en automne Bergerie dominants,Ovins viande,0,170.0,0.0,56.3,0.0,20.0,20.0,0.0,150.0
Deux périodes d'agn. Bergerie et herbe,Bovins viande,0,150.0,0.0,85.6,0.0,69.0,69.0,0.0,81.0
Trois périodes d'agn. Bergerie dominants,Ovins viande,0,150.0,0.0,126.4,0.0,81.0,75.0,6.0,69.0
2 périodes de mise bas ,Ovins viande,0,90.0,0.0,67.5,0.0,42.0,8.0,30.0,48.0
Un agn. Race proli. Bergerie dominants,Bovins viande,0,350.0,0.0,206.6,0.0,149.0,130.0,9.0,201.0
200 brebis - Petits Fruits,Ovins viande,0,86.25,0.0,34.2,0.0,30.0,30.0,0.0,55.0
Un agn. au printemps Herbe dominants,Bovins lait,0,120.0,0.0,129.1,41.0,104.5,95.0,0.0,15.5
Deux périodes d'agn. Bergerie dominants,Ovins viande,0,70.0,0.0,69.8,0.0,70.0,35.0,35.0,0.0
Un agn. au printemps Herbe dominants,Bovins lait,0,60.0,0.0,40.9,0.0,60.0,60.0,0.0,0.0
3 agn.s en 2 ans Bergerie dominants,Ovins viande,0,70.0,0.0,53.5,0.0,65.0,55.0,10.0,5.0
3 agn./2 ans non systématique Bergerie,Ovins viande,0,110.0,0.0,100.2,0.0,100.0,80.0,20.0,10.0
3 agn./2 ans non systématique Bergerie,Ovins viande,0,100.0,0.0,107.0,0.0,100.0,100.0,0.0,0.0
3 agn.s en 2 ans Bergerie dominants,Ovins viande,0,50.0,0.0,65.9,0.0,50.0,50.0,0.0,0.0
Deux périodes d'agn. Reproducteurs,Ovins viande,0,80.0,0.0,82.1,0.0,75.0,38.0,37.0,5.0
Bergerie dominants - auto renouvellement,Ovins viande,0,68.0,0.0,70.5,0.0,62.0,46.0,14.0,6.0
Deux périodes d'agn. Bergerie dominant,Ovins viande,0,35.0,0.0,35.9,0.0,35.0,23.0,10.0,0.0
Deux périodes d'agn. Bergerie dominants,Ovins viande,0,80.0,0.0,81.5,0.0,80.0,66.0,14.0,0.0
Bergerie dominants - auto renouvellement,Ovins viande,0,68.0,0.0,69.7,0.0,65.0,59.0,6.0,3.0
3 agn./2 ans non systématique Bergerie ,Ovins viande,0,75.0,0.0,80.1,0.0,75.0,75.0,0.0,0.0
3 mises bas en 2 ans non systématique,Ovins viande,0,100.0,0.0,99.0,0.0,80.0,0.0,80.0,20.0
2 périodes de mise bas,Ovins viande,0,55.0,0.0,45.9,0.0,49.0,9.0,33.0,6.0
Agnelage x2 - bergerie lourds + tardons,Ovins viande,0,25.0,0.0,37.5,0.0,25.0,25.0,0.0,0.0
Agnelage x2 - agneaux lourds bergerie,Ovins viande,0,32.0,0.0,54.0,0.0,25.0,11.0,14.0,7.0
Agnelage x2 - agneaux lourds bergerie,Ovins viande,0,37.0,0.0,67.5,0.0,26.0,6.0,20.0,11.0
Agnelage x2 - agneaux lourds + tardons,Ovins viande,0,37.0,0.0,67.5,0.0,33.0,5.0,28.0,4.0
Agnelage x2 - agneaux maigres dominants,Ovins viande,0,12.0,0.0,120.0,0.0,12.0,12.0,0.0,0.0
Agnelage x2 - agnx maigres ou semi-finis,Ovins viande,0,10.0,0.0,75.0,0.0,10.0,10.0,0.0,0.0
Agnelage x2 - agneaux semi-finis,Ovins viande,0,40.0,0.0,184.7,0.0,15.0,15.0,0.0,25.0
Agnelage x1 - agneaux lourds bergerie,Ovins viande,0,52.0,0.0,69.0,0.0,41.0,6.0,35.0,11.0
Agnelage x1 - tardons semi-finis,Ovins viande,0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0
Agnelage x2 - agneaux lourds bergerie,Ovins viande,0,40.0,0.0,48.0,0.0,26.0,9.0,17.0,11.0
Agnelage principal en hiver,Ovins viande,0,70.0,0.0,90.0,0.0,54.0,6.0,48.0,16.0
1 période de mise bas,Ovins viande,0,10.0,0.0,27.0,0.0,10.0,10.0,0.0,0.0
Un agn. en hiver Bergerie dominants,Bovins viande,0,160.0,0.0,152.6,0.0,154.0,99.0,55.0,6.0
"3 agn.s en 2 ans Bergerie lourds, lég.",Bovins lait,0,140.0,0.0,123.0,56.3,121.0,79.0,30.0,19.0
